allometry_ID,group,subgroup,Family,taxonID,Genus and species,Common name,FIA Species Code,Wood specific gravity,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,"Reference Number
 (Global Wood Density DB)",Initials and References Used/Other Notes,Excluding Factor
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BECAC,Betula × caerulea var. caerulea,,,,,,,,,SR- SPG not known; H4 chosen because both hybrid parents are contained with this allometry. Assumption is that hybrid would also be within this allometry,
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BENI,Betula nigra,River birch,,0.49,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPA,Betula papyrifera,"Birch, paper",375,0.48,3,51,3 – 51,,,,
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAC,Betula papyrifera var. commutata,,,0.48,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAC2,Betula papyrifera var. cordifolia,Mountain paper birch,,0.48,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAP,Betula papyrifera var. papyrifera ,Paper birch,,0.48,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",
H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPO,B. populifolia,"Birch, gray",379,0.45,3,23,3 – 23,,,,
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEAL2,B. alleghaniensis,"Birch, yellow",371,0.55,3,70,3 – 70,,,,
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BENE4,B. neoalaskana,"Birch, resin",,0.53,,,,,,Added by kj - based on worldagroforstr.org,
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEOC2,Betula occidentalis,,,0.53,,,,,,"SR- spg from Jenkins, Chojnacky, et al 2004; allometry chosen based on this SPG",
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BETUL,Betula sp,,,0.54,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACA18,Carpinus caroliniana,American hornbeam ,,0.58,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACAV2,Carpinus caroliniana var. virginiana,American hornbeam,,0.58,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCO6,Corylus cornuta,,,,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",
,,,Meliaceae,SWMA2,Swietenia mahagoni,West indian mahogany,,0.750,,,,,111,"SM - spg added from Zanne et al. Global wood density database. Assigned Central America value vs South-East Asia value, Ref 111.",Tropical
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Meliaceae,MEAZ,Melia azedarach,Chinaberrytree ,,0.42,,,,,119,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced
H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCOC,Corylus cornuta,,,,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MOAL,Morus alba,White mulberry,,0.578,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced
H6,hardwood,Betulaceae  ≥ 0.60 spg,Betulaceae,BELE,B. lenta,"Birch, sweet",372,0.6,3,47,3 – 47,,,,
H6,hardwood,Betulaceae  ≥ 0.60 spg,Betulaceae,OSVI,Ostrya virginiana,Hophornbeam,701,0.63,3,21,3 – 21,,,,
,,,Myoporaceae,MYSA,Myoporum sandwicense,,,,,,,,,SR- SPG not known,Hawaii
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Anacardiaceae,RHCO,Rhus copallinum,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
,,,Myrsinaceae,MYLE2,Myrsine lessertiana,,,,,,,,,SR- SPG not known,Hawaii
,,,Myrsinaceae,MYSA2,Myrsine sandwicensis,,,,,,,,,SR- SPG not known,Hawaii
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Anacardiaceae,RHGL,Rhus glabra,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
,,,Myrtaceae,MEPO5,Metrosideros polymorpha,,,,,,,,,SR- SPG not known,Hawaii
,,,Nyctaginaceae,PIAL3,Pisonia albida,,,,,,,,,SR - SPG not known; Puerto Rico,Puerto Rico
,,,Nyctaginaceae,GUOB,Guapira obtusata,,,,,,,,,SR- SPG not known,Tropical
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Anacardiaceae,TODI,Toxicodendron diversilobum,Pacific poison oak,,0.63,,,,,,"kj assigned, spg from Zanne et al. 2009",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Anacardiaceae,TORA2,Toxicodendron radicans,Poison ivy,,,,,,,,"kj assigned, spg not known",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Anacardiaceae ,TOVE,Toxicodendron vernix,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Annonaceae,ASTR,Asimina triloba,,,0.47,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILCA,Ilex cassine,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILDE,Ilex decidua,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMO,Ilex montana,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILMY,Ilex myrtifolia,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILOP,Ilex opaca,American holly,,0.5,,,,,,"kj assigned, spg from Zanne et al. 2009",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Boraginaceae,BOURR,Bourreria sp,,,,,,,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Caprifoliaceae,VINU,Viburnum nudum,Possumhaw,,,,,,,,"kj assigned, spg not known ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CODR,Cornus drummondii,,,,,,,,,SR- SPG not known; H7 based on Cornaceae,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFL2,Cornus florida,Dogwood,491,0.64,3,12,3 – 12,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFO,Cornus foemina Mill.,"Dogwood, stiff",,,,,,,,"kj assigned, spg not known",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CONU4,Cornus nuttallii,"Dogwood, Pacific",,0.58,,,,,,Added by kj - based on worldagroforstr.org,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CYFL7,Cornus florida ,Dogwood,,0.64,,,,,,synonym,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYAQ2,Nyssa aquatica,"Tupelo, water",691,0.46,3,25,3 – 25,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYBI,Nyssa biflora,,,0.46,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004 syn: N. sylvatica var. biflora; allometry assignef based on Cornaceae",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSSA,Nyssa sp,,,,,,,,,Allometry assigned using family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSY,N. sylvatica,"Tupelo, blackgum",693,0.46,3,50,3 – 50,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ebenaceae,DIVI5,Diospyros virginiana,Common persimmon,,0.67,,,,,170,"AQ, spg added from Zanne et al. Global wood density database. ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARME,Arbutus menziesii,"Madrone, Pacific",361,0.58,3,64,3 – 64,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARVIM,Arctostaphylos viscida ssp. mariposa,"Manzanita, Mariposa",,0.71,,,,,,Added by kj - based on Chave et al & Zanne et al. database  (other Acrotstaphylos sp.),
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,KALA,Kalmia latifolia,Mountain laurel,,0.62,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,OXAR,Oxydendrum arboreum,Sourwood,711,0.5,4,35,4 – 35,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,RHMA4,Rhododendron maximum,Great laurel,,0.500,,,,,118,SM - spg added from Zanne et al. Global wood density database. Allometry assigned based on family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,UMCA,Umbellularia californica,California bay laurel,981,0.51,8,61,8 – 61,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,VAAR,Vaccinium arboreum,Farkleberry,,,,,,,,"kj assigned, based on Family, spg not known",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,VAST,Vaccinium stamineum,Deerberry,,,,,,,,"kj assigned, based on Family, spg not known",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,LIBE3,Lindera benzoin,,,,,,,,,SR- SPG not known,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEBO,Persea borbonia,,,0.51,,,,,,"SR-SPG from Jenkins, Chojnacky, et al 2004",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEPA37,Persea palustris,,,,,,,,,SR- SPG not known,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,SAAL5,Sassafras albidum,Sassafras,931,0.42,3,15,3 – 15,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MAPO,Maclura pomifera,Osage-orange,,0.76,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORU2,Morus rubra,,,0.59,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry chosen based on family not represented in other categories",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MORUS,Morus sp,,,0.59,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry chosen based on family not represented in other categories",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Myricaceae,MOCE2,Morella cerifera,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Platanaceae,PLOC,Platanus occidentalis,Sycamore,731,0.46,3,50,3 – 50,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,BESC,Berchemia scandens,Alabama supplejack,,,,,,,,"kj assigned, spg not known *** other Berchemia sp. from Africa have extremely high spg, H7 may underestimate AGB",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,CEIN3,Ceanothus integerrimus,Deerbrush,,,,,,,,"kj assigned, spg not known; SR- This is a shrub should probably be removed?",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,FRPU7,Frangula purshiana,Cascara buckthorn,,0.501,,,,,118,"BS, spg added from Zanne et al. Global wood density database. Listed under synonym Rhamnus purshiana there.",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMELA,Amelanchier spp.,Serviceberry,356,0.66,3,25,3 – 25,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMLA,Amelanchier laevis,,,,,,,,,"SR- SPG not known, H7 chosen based on Rosaceae",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,CRATA,Crataegus sp,,,,,,,,,Allometry assigned based on Rosaceae,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRAM,Prunus americana,,,0.47,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry assigned based on Rosaceae",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRAN3,Prunus angustifolia,,,,,,,,,SR - SPG not known,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PREM,Prunus emarginata,,,0.47,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; this paper indicates this could be covered under woodland allometry W2",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRME,Prunus mexicana,,,,,,,,,SR - SPG not known; allometry assigned based on Rosaceae,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRPE2,Prunus pensylvanica,"Cherry, pin",761,0.47,3,42,3 – 42,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRPEP,Prunus pensylvanica,Pin cherry,,0.360,,,,,118,SM - spg added from Zanne et al. Global wood density database,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRSE2,P. serotina,"Cherry, black",762,0.47,3,50,3 – 50,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRSES,Prunus serotina,Black cherry,,0.470,,,,,6,SM - spg added from Zanne et al. Global wood density database,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRUM,Prunus umbellata,,,,,,,,,SR - SPG not known; allometry assigned based on Rosaceae,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRUNU,Prunus sp.,,,0.47,,,,,,"SR- spg from Jenkins, Chojnacky, et al 2004; allometry assigned based on Family",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRVI,P. virginiana,"Cherry, Chokecherry",763,0.47,3,15,3 – 15,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PYRUS,Pyrus sp.,,,,,,,,,SR - SPG not known; allometry assigned based on Rosaceae,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,SOAM3,Sorbus americana,"Sorbus, mtn. ash",935,0.6,7,26,7 – 26,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rutaceae,ZAAM,Zanthoxylum americanum,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Sapotaceae,SILA20,Sideroxylon lanuginosum,,,,,,,,,SR- SPG not known; H7 chosen due to family not represented in other group,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Simaroubaceae,AIAL,Ailanthus altissima,Tree of heaven,,0.457191,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. There were 6 spg values for this species and the one entered here is only one from the North American region; Allometry assigned based on family not included in other allometries",
,,,Polygonaceae,CODI8,Coccoloba diversifolia,tietongue,,0.8,,,,,111,"BS, spg added from Zanne et al. Global wood density database. ",Only occurs in select counties in southern florida
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Sterculiaceae,FRCA6,Fremontodendron californicum,California flannelbush,,,,,,,,"kj assigned, spg not known",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Styracaceae,HATE3,Halesia tetraptera,,,,,,,,,SR- spg not known for species though Jenkins 2004 lists genus as 0.42; allometry assigned based on not fitting with other taxonomy assignments,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,RHDA,Rhamnus davurica,Dahurian buckthorn,,0.551,,,,,33,SM - spg added from Zanne et al. Global wood density database,Introduced
,,,Rhamnaceae,KRFE,Krugiodendron ferreum,Leadwood,,1.35,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. 2 spg values, Central American value assigned.","Tropical, only occur in Florida and Puerto Rico"
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Theaceae,GOLA,Gordonia lasianthus,,,0.37,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELA,Celtis laevigata,Sugarberry,,0.47,,,,,118,"AQ, spg added from Zanne et al. Global wood density database. ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELTI,Celtis sp,,,,,,,,,Allometry assigned using family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CEOC,Celtis occidentalis,Common hackberry ,,0.49,,,,,118,"AQ, spg added from Zanne et al. Global wood density database. ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CEOCO2,Celtis occidentalis var. occidentalis,Common hackberry ,,0.49,,,,,118,"AQ, spg added from Zanne et al. Global wood density database. ",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULAL,Ulmus alata,Winged elm,,0.600,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry assigned using family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULAM,Ulmus americana,Elm,972,0.46,3,55,3 – 55,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULCR,Ulmus crassifolia,Cedar elm,,0.590,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry assigned using family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULMUS,U. spp.,Elm,970,0.54,3,27,3 – 27,,,,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULMUSSPP,Ulmus spp,,,0.5,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULPU,Ulmus pumila,Siberian elm,,0.550,,,,,33,SM - spg added from Zanne et al. Global wood density database. There are 2 spg values from the Global wood density database for this species. Allometry assigned based on family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRAV,Prunus avium,Sweet cherry ,,0.474,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULRU,Ulmus rubra,Slippery elm,,0.480,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry assigned based on family.,
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Vitaceae,VIRO3,Vitis rotundifolia,Muscadine,,,,,,,,"kj assigned, based on Order, spg not known; SR - not a tree, remove?",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Vitaceae,VITIS,Vitis sp,,,,,,,,,"kj assigned, based on Order, spg not known; SR - not a tree, remove?",
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PYCA80,Pyrus calleryana,Callery pear,,,,,,,,SR - SPG not known; allometry assigned based on Rosaceae,Introduced
H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,,2PLANT,,,,,,,,,,,
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAAL27,Carya alba ,"Hickory, mockernut",,0.72,,,,,,"kj assigned, spg from FIA - Miles and Smith 2009 - much higher spg than other Carya sp.     SR- This is a synonym for C. tomentosa should it not have the same spg?",
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAAQ2,Carya aquatica,Water hickory,,0.61,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CACO15,Carya cordiformis ,Bitternut hickory ,,0.6,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAGL8,Carya glabra (Carya spp.),"Hickory, pignut",,0.66,,,,,,"Added by kj - based on spg Zanne et al. 2009 - Could be either H8 or H9, matched by genus",
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAIL2,Carya illinoinensis,Pecan,404,0.6,22,33,22– 33,,,,
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV2,C. ovata,"Hickory, shagbark",407,0.64,5,43,5 – 43,,,,
,,,Rubiaceae,EXCA,Exostema caribaeum,Caribbean princewood,,0.99,,,,,23,"AQ, spg added from Zanne et al. Global wood density database. 2 spg values, assigned value from Mexico",Tropical
,,,Rubiaceae,COOC3,Coprosma ochracea,,,,,,,,,SR - SPG not known,Hawaii
,,,Rubiaceae,GUKR,Guettarda krugii,,,,,,,,,SR- SPG not known,Puerto Rico
,,,Rutaceae,AMEL,Amyris elemifera,Sea torchwood,,1.05,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. Tropical species, not sure if covered by one of these allometries.",Tropical
,,,Rutaceae,TEDA,Tetradium daniellii,,,,,,,,,SR- SPG not known; non-native,non-native
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV3,Carya ovalis,,,0.66,,,,,,"SR- syn for C. glabra (source: FNA, ITIS) same SPG as that species. Allometry assigned based on genus Carya.",
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CARYA,Carya spp.,Hickory,400,0.62,3,70,3 – 70,,,,
H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CATO6,C. tomentosa ,"Hickory, mockernut",,0.64,,,,,,Added by kj - based on Zanne et al. 2009,
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECA4,Cercis canadensis,Eastern redbud,,0.65,,,,,136,"AQ, spg added from Zanne et al. Global wood density database. ",
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECAC,Cercis canadensis var. canadensis ,Eastern redbud,,0.65,,,,,136,"AQ, spg added from Zanne et al. Global wood density database. ",
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GLTR,Gleditsia triacanthos,Honeylocust,,0.6,,,,,6,"JG, Spg added from Zanne et al. Global wood density database. ",
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GYDI,Gymnocladus dioicus,Kentucky coffeetree ,,0.53,,,,,,"JG, spg added from Zanne et al. Global wood density database. ",
H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,ROPS,Robinia pseudoacacia,"Locust, black",901,0.66,4,42,4 – 42,,,,
H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUCI,Juglans cinerea,Butternut,,0.36,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",
H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUNI,Juglans nigra,Black walnut ,,0.51,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",
W1,woodland,Cupressaceae,Cupressaceae,CUPRE,Cupressus spp.,"Cypress, pygmy",50,0.41,4,12,4 – 12,,,,
W1,woodland,Cupressaceae,Cupressaceae,JUMO,Juniperus monosperma,"Juniper, oneseed",69,0.58,5,45,5 – 45,,,,
W1,woodland,Cupressaceae,Cupressaceae,JUOC,J. occidentalis,"Juniper, western",64,0.45,5,87,5 – 87,,,,
