"taxonID","genus","species","growthForm","gf","protocolLabel","D01_BART","D01_HARV","D02_BLAN","D02_SCBI","D02_SERC","D03_DSNY","D03_JERC","D03_OSBS","D04_GUAN","D04_LAJA","D05_TREE","D05_UNDE","D06_KONZ","D06_UKFS","D07_GRSM","D07_MLBS","D07_ORNL","D08_DELA","D08_LENO","D08_TALL","D09_DCFS","D09_WOOD","D10_CPER","D10_RMNP","D11_CLBJ","D11_OAES","D12_YELL","D13_MOAB","D13_NIWO","D14_JORN","D14_SRER","D15_ONAQ","D16_ABBY","D16_WREF","D17_SJER","D17_SOAP","D17_TEAK","D18_BARR","D18_TOOL","D19_BONA","D19_DEJU","D19_HEAL","D20_PUUM"
"RHDA","Rhamnus","davurica","DBL","Deciduous broadleaf","Rhamnus davurica - Deciduous broadleaf","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHMA4","Rhododendron","maximum","EB","Evergreen broadleaf","Rhododendron maximum - Evergreen broadleaf","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHAR4","Rhus","aromatica","DBL","Deciduous broadleaf","Rhus aromatica - Deciduous broadleaf","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHCO","Rhus","copallinum","DBL","Deciduous broadleaf","Rhus copallinum - Deciduous broadleaf","","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"RHGL","Rhus","glabra","DBL","Deciduous broadleaf","Rhus glabra - Deciduous broadleaf","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHRE","Rhynchosia","reniformis","Forb","Forb","Rhynchosia reniformis - Forb","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIMI","Ribes","missouriense","DBL","Deciduous broadleaf","Ribes missouriense - Deciduous broadleaf","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RISE2","Ribes","setosum","DBL","Deciduous broadleaf","Ribes setosum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"ROPS","Robinia","pseudoacacia","DBL","Deciduous broadleaf","Robinia pseudoacacia - Deciduous broadleaf","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROAC","Rosa","acicularis","DBL","Deciduous broadleaf","Rosa acicularis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","",""
"ROAR3","Rosa","arkansana","DBL","Deciduous broadleaf","Rosa arkansana - Deciduous broadleaf","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROBR3","Rosa","bridgesii","DDB","Drought deciduous broadleaf","Rosa bridgesii - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"ROGY","Rosa","gymnocarpa","DBL","Deciduous broadleaf","Rosa gymnocarpa - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"ROMU","Rosa","multiflora","DBL","Deciduous broadleaf","Rosa multiflora - Deciduous broadleaf","","","","X","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROWO","Rosa","woodsii","DBL","Deciduous broadleaf","Rosa woodsii - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"RUCH","Rubus","chamaemorus","Forb","Forb","Rubus chamaemorus - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","X",""
"RUCU","Rubus","cuneifolius","DBL","Deciduous broadleaf","Rubus cuneifolius - Deciduous broadleaf","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUHA","Rubus","hawaiensis","DBL","Deciduous broadleaf","Rubus hawaiensis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"RULA","Rubus","laciniatus","SEBR","Semi-evergreen broadleaf","Rubus laciniatus - Semi-evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"RUPH","Rubus","phoenicolasius","DBL","Deciduous broadleaf","Rubus phoenicolasius - Deciduous broadleaf","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUPU","Rubus","pubescens","Forb","Forb","Rubus pubescens - Forb","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUSP","Rubus","spectabilis","DBL","Deciduous broadleaf","Rubus spectabilis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"RUUR","Rubus","ursinus","SEBR","Semi-evergreen broadleaf","Rubus ursinus - Semi-evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"RUTU","Ruellia","tuberosa","Forb","Forb","Ruellia tuberosa - Forb","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAMI8","Sabal","minor","EBL-NLB","Evergreen broadleaf - no leaf buds","Sabal minor - Evergreen broadleaf - no leaf buds","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAGI","Saccharum","giganteum","GRS","Graminoid","Saccharum giganteum - Graminoid","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAAL","Salix","alaxensis","DBL","Deciduous broadleaf","Salix alaxensis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"SABE2","Salix","bebbiana","DBL","Deciduous broadleaf","Salix bebbiana - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X",""
"SACH","Salix","chamissonis","DBL","Deciduous broadleaf","Salix chamissonis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
"SAGL","Salix","glauca","DBL","Deciduous broadleaf","Salix glauca - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"SAPU15","Salix","pulchra","DBL","Deciduous broadleaf","Salix pulchra - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","X",""
"SARE2","Salix","reticulata","DBL","Deciduous broadleaf","Salix reticulata - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
"SASC","Salix","scouleriana","DBL","Deciduous broadleaf","Salix scouleriana - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"SARA2","Sambucus","racemosa","DBL","Deciduous broadleaf","Sambucus racemosa - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"SAOF3","Sanguisorba","officinalis","Forb","Forb","Sanguisorba officinalis - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"SACA15","Sanicula","canadensis","Forb","Forb","Sanicula canadensis - Forb","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAOD","Sanicula","odorata","Forb","Forb","Sanicula odorata - Forb","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAAL5","Sassafras","albidum","DBL","Deciduous broadleaf","Sassafras albidum - Deciduous broadleaf","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SACE2","Saxifraga","cernua","Forb","Forb","Saxifraga cernua - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"SAFO4","Saxifraga","foliolosa","Forb","Forb","Saxifraga foliolosa - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"SCSC","Schizachyrium","scoparium","GRS","Graminoid","Schizachyrium scoparium - Graminoid","","","","","","","","","","","","","X","","","","","","","X","","X","","","X","X","","","","","","","","","","","","","","","","",""
"SCST2","Schizachyrium","stoloniferum","GRS","Graminoid","Schizachyrium stoloniferum - Graminoid","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCCI","Scleria","ciliata","GRS","Graminoid","Scleria ciliata - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"SEVU","Senecio","vulgaris","Forb","Forb","Senecio vulgaris - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"SEGR4","Senegalia","greggii","DDB","Drought deciduous broadleaf","Senegalia greggii - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"SEBA3","Senna","bauhinioides","Forb","Forb","Senna bauhinioides - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"SERE2","Serenoa","repens","EBL-NLB","Evergreen broadleaf - no leaf buds","Serenoa repens - Evergreen broadleaf - no leaf buds","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETO7","Sericocarpus","tortifolius","Forb","Forb","Sericocarpus tortifolius - Forb","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SELE6","Setaria","leucopila","GRS","Graminoid","Setaria leucopila - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"SHCA","Shepherdia","canadensis","DBL","Deciduous broadleaf","Shepherdia canadensis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"SIPR","Sibbaldia","procumbens","Forb","Forb","Sibbaldia procumbens - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"SILA20","Sideroxylon","lanuginosum","DBL","Deciduous broadleaf","Sideroxylon lanuginosum - Deciduous broadleaf","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"SIACS2","Silene","acaulis","Forb","Forb","Silene acaulis - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"SMBO2","Smilax","bona-nox","SEBR","Semi-evergreen broadleaf","Smilax bona-nox - Semi-evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"SOAL6","Solidago","altissima","Forb","Forb","Solidago altissima - Forb","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOCA6","Solidago","canadensis","Forb","Forb","Solidago canadensis - Forb","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"SOFI","Solidago","fistulosa","Forb","Forb","Solidago fistulosa - Forb","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOMI2","Solidago","missouriensis","Forb","Forb","Solidago missouriensis - Forb","","","","","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"SOSI3","Solidago","simplex","Forb","Forb","Solidago simplex - Forb","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","",""
"SONU2","Sorghastrum","nutans","GRS","Graminoid","Sorghastrum nutans - Graminoid","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"SOSE5","Sorghastrum","secundum","GRS","Graminoid","Sorghastrum secundum - Graminoid","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPCO","Sphaeralcea","coccinea","Forb","Forb","Sphaeralcea coccinea - Forb","","","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","X","","","","","","","","","","",""
"SPST3","Spiraea","stevenii","DBL","Deciduous broadleaf","Spiraea stevenii - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"SPCO16","Sporobolus","compositus","GRS","Graminoid","Sporobolus compositus - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"SPFL2","Sporobolus","flexuosus","GRS","Graminoid","Sporobolus flexuosus - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"SPJU","Sporobolus","junceus","GRS","Graminoid","Sporobolus junceus - Graminoid","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STME2","Stellaria","media","Forb","Forb","Stellaria media - Forb","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STSY","Stillingia","sylvatica","Forb","Forb","Stillingia sylvatica - Forb","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STCAA","Streptanthus","carinatus","Forb","Forb","Streptanthus carinatus - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"STTA","Styphelia","tameiameiae","EB","Evergreen broadleaf","Styphelia tameiameiae - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"SYOC","Symphoricarpos","occidentalis","DBL","Deciduous broadleaf","Symphoricarpos occidentalis - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","",""
"SYOR","Symphoricarpos","orbiculatus","DBL","Deciduous broadleaf","Symphoricarpos orbiculatus - Deciduous broadleaf","","","","X","","","","","","","","","X","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"SYER","Symphyotrichum","ericoides","Forb","Forb","Symphyotrichum ericoides - Forb","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYOB","Symphyotrichum","oblongifolium","Forb","Forb","Symphyotrichum oblongifolium - Forb","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYTI","Symplocos","tinctoria","SEBR","Semi-evergreen broadleaf","Symplocos tinctoria - Semi-evergreen broadleaf","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"TAOF","Taraxacum","officinale","Forb","Forb","Taraxacum officinale - Forb","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"TABR2","Taxus","brevifolia","EC","Evergreen conifer","Taxus brevifolia - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"TEVI","Tephrosia","virginiana","Forb","Forb","Tephrosia virginiana - Forb","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"TEDA","Tetradium","daniellii","DBL","Deciduous broadleaf","Tetradium daniellii - Deciduous broadleaf","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEACC","Tetraneuris","acaulis","Forb","Forb","Tetraneuris acaulis - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"THFI","Thelesperma","filifolium","Forb","Forb","Thelesperma filifolium - Forb","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","",""
"THDI4","Thermopsis","divaricarpa","Forb","Forb","Thermopsis divaricarpa - Forb","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"THMO6","Thermopsis","montana","Forb","Forb","Thermopsis montana - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"THSTP","Thouinia","striata","DDB","Drought deciduous broadleaf","Thouinia striata - Drought deciduous broadleaf","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THPL","Thuja","plicata","EC-NN","Evergreen conifer - no needles","Thuja plicata - Evergreen conifer - no needles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"THCU","Thysanocarpus","curvipes","Forb","Forb","Thysanocarpus curvipes - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"TODI","Toxicodendron","diversilobum","DBL","Deciduous broadleaf","Toxicodendron diversilobum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"TOPU2","Toxicodendron","pubescens","DBL","Deciduous broadleaf","Toxicodendron pubescens - Deciduous broadleaf","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TORA2","Toxicodendron","radicans","DBL","Deciduous broadleaf","Toxicodendron radicans - Deciduous broadleaf","","","","","","","","","","","","","","X","X","","X","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"TRRA5","Tragia","ramosa","Forb","Forb","Tragia ramosa - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"TRSE6","Triadica","sebifera","DBL","Deciduous broadleaf","Triadica sebifera - Deciduous broadleaf","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRFL2","Tridens","flavus","GRS","Graminoid","Tridens flavus - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"TRBOB","Trientalis","borealis","Forb","Forb","Trientalis borealis - Forb","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRBO2","Trientalis","borealis","Forb","Forb","Trientalis borealis - Forb","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRBOL","Trientalis","borealis","Forb","Forb","Trientalis borealis - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"TRDA2","Trifolium","dasyphyllum","Forb","Forb","Trifolium dasyphyllum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"TROV2","Trillium","ovatum","Forb","Forb","Trillium ovatum - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"TRUN","Trillium","undulatum","Forb","Forb","Trillium undulatum - Forb","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRAM7","Triplasis","americana","GRS","Graminoid","Triplasis americana - Graminoid","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRSP2","Trisetum","spicatum","GRS","Graminoid","Trisetum spicatum - Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"TRIX","Triteleia","ixioides","Forb","Forb","Triteleia ixioides - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"TSCA","Tsuga","canadensis","EC","Evergreen conifer","Tsuga canadensis - Evergreen conifer","X","X","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSHE","Tsuga","heterophylla","EC","Evergreen conifer","Tsuga heterophylla - Evergreen conifer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"ULAM","Ulmus","americana","DBL","Deciduous broadleaf","Ulmus americana - Deciduous broadleaf","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULCR","Ulmus","crassifolia","DBL","Deciduous broadleaf","Ulmus crassifolia - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","",""
"URMA3","Urochloa","maxima","GRS","Graminoid","Urochloa maxima - Graminoid","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVSE","Uvularia","sessilifolia","Forb","Forb","Uvularia sessilifolia - Forb","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAAR","Vaccinium","arboreum","SEBR","Semi-evergreen broadleaf","Vaccinium arboreum - Semi-evergreen broadleaf","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","",""
"VACA8","Vaccinium","calycinum","DBL","Deciduous broadleaf","Vaccinium calycinum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"VACO","Vaccinium","corymbosum","DBL","Deciduous broadleaf","Vaccinium corymbosum - Deciduous broadleaf","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VADA","Vaccinium","darrowii","SEBR","Semi-evergreen broadleaf","Vaccinium darrowii - Semi-evergreen broadleaf","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAME","Vaccinium","membranaceum","DBL","Deciduous broadleaf","Vaccinium membranaceum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"VAMY","Vaccinium","myrtilloides","DBL","Deciduous broadleaf","Vaccinium myrtilloides - Deciduous broadleaf","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAMY2","Vaccinium","myrtillus","DBL","Deciduous broadleaf","Vaccinium myrtillus - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"VAOV","Vaccinium","ovalifolium","DBL","Deciduous broadleaf","Vaccinium ovalifolium - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"VAOX","Vaccinium","oxycoccos","EB","Evergreen broadleaf","Vaccinium oxycoccos - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"VAPA4","Vaccinium","pallidum","DBL","Deciduous broadleaf","Vaccinium pallidum - Deciduous broadleaf","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAPA","Vaccinium","parvifolium","DBL","Deciduous broadleaf","Vaccinium parvifolium - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","",""
"VARE","Vaccinium","reticulatum","EB","Evergreen broadleaf","Vaccinium reticulatum - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"VAST","Vaccinium","stamineum","DBL","Deciduous broadleaf","Vaccinium stamineum - Deciduous broadleaf","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAUL","Vaccinium","uliginosum","DBL","Deciduous broadleaf","Vaccinium uliginosum - Deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X",""
"VAVI","Vaccinium","vitis-idaea","EB","Evergreen broadleaf","Vaccinium vitis-idaea - Evergreen broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X",""
"VAHE","Vancouveria","hexandra","SEF","Semi-evergreen forb","Vancouveria hexandra - Semi-evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"VEAL","Verbesina","alternifolia","Forb","Forb","Verbesina alternifolia - Forb","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEOC","Verbesina","occidentalis","Forb","Forb","Verbesina occidentalis - Forb","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEBA","Vernonia","baldwinii","Forb","Forb","Vernonia baldwinii - Forb","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEHE2","Veronica","hederifolia","Forb","Forb","Veronica hederifolia - Forb","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEOF2","Veronica","officinalis","SEF","Semi-evergreen forb","Veronica officinalis - Semi-evergreen forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"VIAC","Viburnum","acerifolium","DBL","Deciduous broadleaf","Viburnum acerifolium - Deciduous broadleaf","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VILA11","Viburnum","lantanoides","DBL","Deciduous broadleaf","Viburnum lantanoides - Deciduous broadleaf","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VISE3","Viola","sempervirens","Forb","Forb","Viola sempervirens - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"VIRO3","Vitis","rotundifolia","DBL","Deciduous broadleaf","Vitis rotundifolia - Deciduous broadleaf","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUOC","Vulpia","octoflora","GRS","Graminoid","Vulpia octoflora - Graminoid","","","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","",""
"WIAM","Wissadula","amplissima","Forb","Forb","Wissadula amplissima - Forb","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEVI","Yeatesia","viridiflora","Forb","Forb","Yeatesia viridiflora - Forb","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"YUEL","Yucca","elata","EBL-NL","Evergreen broadleaf - no leaves","Yucca elata - Evergreen broadleaf - no leaves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","",""
"ZAAM","Zanthoxylum","americanum","DBL","Deciduous broadleaf","Zanthoxylum americanum - Deciduous broadleaf","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIAC","Zinnia","acerosa","DDB","Drought deciduous broadleaf","Zinnia acerosa - Drought deciduous broadleaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"ZIGR","Zinnia","grandiflora","Forb","Forb","Zinnia grandiflora - Forb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
