"domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","mortonOrder","siteID","nlcdClass","plotType","subtype","applicableModules","plotSize","subtypeSpecification"
"D08","DELA","DELA_038","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"N",NA,NA,NA,NA,NA,NA,NA,NA,107,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",32.5,34.41,NA,"00040",19.4,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",44.6,58.8,NA,"00292",19.7,"QUERC","Quercus sp.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",143.9,44.76,NA,"00291",21.2,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",70,"Y",1.5,38.5,NA,"00297",13.7,"QUERC","Quercus sp.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",70,"Y",23.4,58.5,NA,"00885",21.4,"CAOV2","Carya ovata (Mill.) K. Koch","1 - Fresh fallen",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",70,"Y",28.1,29.6,NA,"00884",3.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",70,"Y",36.3,27.8,NA,"00883",7.8,"LIST2","Liquidambar styraciflua L.","2 - Sound round",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",3,10,NA,"00882",1.5,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",4.1,10.02,NA,"00881",4.5,"MORU2","Morus rubra L.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",68,46,NA,"00880",12.6,"LIST2","Liquidambar styraciflua L.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_039","2019-06-19T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",79.8,42.28,NA,"00293",26.8,"PITA","Pinus taeda L.","3 - Heartwood sound",363,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_040","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",0,"Y",16,24.5,NA,"00726",6.2,"LIST2","Liquidambar styraciflua L.","3 - Heartwood sound",422,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_040","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",0.1,3.5,NA,"L01",1.9,"FRPE","Fraxinus pennsylvanica Marshall","2 - Sound round",422,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_040","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",120,"Y",1.7,13.5,NA,"00725",2.8,"LIST2","Liquidambar styraciflua L.","2 - Sound round",422,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_040","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",240,"N",NA,NA,NA,NA,NA,NA,NA,NA,422,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",220,"Y",1.1,22,NA,"00766",9.6,"ULAM","Ulmus americana L.","1 - Fresh fallen",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",3.7,24.5,NA,"00765",3.2,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",6.3,11.5,NA,"00764",2.3,"ACRU","Acer rubrum L.","1 - Fresh fallen",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",6.6,29.5,NA,"00763",5.4,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",7.6,13.4,NA,"00762",3.8,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",13.9,15.5,NA,"00761",2.3,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",340,"Y",15.8,14,NA,"00760",1.7,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",0.4,4.5,NA,"L01",2,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",0.8,5.5,NA,"L02",2.7,"ACRU","Acer rubrum L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",3.3,13,NA,"00766",10.4,"ULAM","Ulmus americana L.","1 - Fresh fallen",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",13.3,20.5,14,"00759",1.9,"ACRU","Acer rubrum L.","3 - Heartwood sound",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",96.7,72,NA,"00758",14.8,"QUNI","Quercus nigra L.","2 - Sound round",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",140.2,45.5,NA,"00757",5.3,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_041","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",100,"Y",154.2,63,NA,"00756",22.7,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",619,"DELA","","tower","basePlot","all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",15.3,29,22.5,"00044",6.5,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",28,19.6,NA,"00043",12.5,"CARYA","Carya sp.","3 - Heartwood sound",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",310,"Y",77.5,48,NA,"00040",21.4,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",70,"Y",11.5,12.2,NA,"00779",2,"CELA","Celtis laevigata Willd.","2 - Sound round",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",1.5,63.5,61.5,"00047",20.2,"QUPA5","Quercus pagoda Raf.","2 - Sound round",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",30.6,22,13,"00046",4.1,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",41.5,23,NA,"00045",7.7,"QUPA5","Quercus pagoda Raf.","2 - Sound round",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",206.5,66.8,NA,"00778",17,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",236.9,88.1,NA,"00185",27.7,"QUPA5","Quercus pagoda Raf.","2 - Sound round",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_042","2019-05-22T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",190,"Y",235,74,NA,"00013",14.3,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",742,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",10.2,20,NA,"00108",2.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",34,24,NA,"00112",2.7,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",61.5,29,NA,"00113",16.5,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",4.2,20.5,14.5,"00772",1.5,"QUERC","Quercus sp.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",2,12,NA,"00773",2.6,"QUERC","Quercus sp.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",47.6,51,NA,"00236",22.7,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",64.2,45,41.5,"00239",24,"QUPA5","Quercus pagoda Raf.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",64.2,47,NA,"00240",17.3,"QUERC","Quercus sp.","3 - Heartwood sound",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_043","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",150,"Y",54.3,31.34,NA,"00771",11.7,"LIST2","Liquidambar styraciflua L.","2 - Sound round",747,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_044","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",87.8,80.5,NA,"00170",20,"QUERC","Quercus sp.","3 - Heartwood sound",875,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_044","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",150,"Y",87.2,52.5,50.5,"00770",7.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",875,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_044","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",150,"Y",130.3,55.5,NA,"00769",19.8,"CATO6","Carya tomentosa (Lam.) Nutt.","2 - Sound round",875,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_044","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",7.5,10.5,NA,"00768",3.4,"MORU2","Morus rubra L.","3 - Heartwood sound",875,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_044","2019-05-29T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",35,28,20,"00767",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",875,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",90,"Y",8.8,16.2,NA,"00209",2.9,"FRPE","Fraxinus pennsylvanica Marshall","4 - Rotten throughout",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",0,7.1,NA,"L01",3.1,"CACA18","Carpinus caroliniana Walter","1 - Fresh fallen",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",5.9,8.5,NA,"L02",3.5,"QUNI","Quercus nigra L.","2 - Sound round",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",7.5,12.6,NA,"00730",2.9,"QUNI","Quercus nigra L.","3 - Heartwood sound",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",8.8,23.7,NA,"00731",17.8,"QUPA5","Quercus pagoda Raf.","2 - Sound round",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",10.4,13,NA,"00732",7.5,"QUPA5","Quercus pagoda Raf.","1 - Fresh fallen",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",13.7,13.4,NA,"00733",1.9,"QUPA5","Quercus pagoda Raf.","2 - Sound round",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",49,27.7,NA,"00734",11.8,"CELA","Celtis laevigata Willd.","2 - Sound round",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",74.8,32.3,NA,"00735",3.6,"CELA","Celtis laevigata Willd.","2 - Sound round",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",330,"Y",99,44.6,NA,"00736",10.7,"QUNI","Quercus nigra L.","1 - Fresh fallen",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",210,"Y",10.9,16.23,NA,"00737",8.3,"CATO6","Carya tomentosa (Lam.) Nutt.","1 - Fresh fallen",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_045","2019-06-11T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",210,"Y",61.5,49.3,NA,"00738",2.8,"LIST2","Liquidambar styraciflua L.","3 - Heartwood sound",934,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_046","2019-06-05T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",260,"N",NA,NA,NA,NA,NA,NA,NA,NA,1419,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_046","2019-06-05T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",140,"Y",17.8,15.5,NA,"00748",11.7,"CARYA","Carya sp.","2 - Sound round",1419,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_046","2019-06-05T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",20,"N",NA,NA,NA,NA,NA,NA,NA,NA,1419,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",130,"Y",52.4,40.6,NA,"00744",20.3,"CATO6","Carya tomentosa (Lam.) Nutt.","2 - Sound round",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",130,"Y",53.7,26.5,NA,"00745",14.8,"CATO6","Carya tomentosa (Lam.) Nutt.","2 - Sound round",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",10,"Y",84.5,42.5,NA,"00746",25,"QUPA5","Quercus pagoda Raf.","2 - Sound round",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",250,"Y",102.4,35.5,NA,"00747",7.5,"QUERC","Quercus sp.","3 - Heartwood sound",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",250,"Y",108.3,45,NA,"00710",14.7,"QUERC","Quercus sp.","3 - Heartwood sound",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_047","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",250,"Y",150.8,67.5,NA,"00232",13.1,"QUERC","Quercus sp.","3 - Heartwood sound",1638,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",4.1,7.1,NA,"L01",2.4,"BENI","Betula nigra L.","2 - Sound round",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",20.2,22.5,NA,"00739",4.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",25.3,31.9,NA,"00740",5.3,"ACNE2","Acer negundo L.","2 - Sound round",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",270,"Y",99.7,44.7,NA,"00741",16.5,"NYBI","Nyssa biflora Walter","1 - Fresh fallen",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",150,"Y",43.2,33,NA,"00742",8.4,"ACNE2","Acer negundo L.","2 - Sound round",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_048","2019-06-13T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",30,"Y",24.3,24.3,NA,"00743",1.9,"PLOC","Platanus occidentalis L.","3 - Heartwood sound",2182,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_050","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",10,"Y",41.3,26,NA,"00777",6.6,"CATO6","Carya tomentosa (Lam.) Nutt.","2 - Sound round",3238,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_050","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",10,"Y",115.7,43.25,NA,"00776",4.3,"CELA","Celtis laevigata Willd.","3 - Heartwood sound",3238,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
"D08","DELA","DELA_050","2019-05-23T00:00:00.000Z",2019,"CDW.2019.DELA","5","NEON.DOC.001711vD",130,"Y",7.1,28.5,19,"00022",1.6,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",3238,"DELA","","tower","basePlot","all|bbc|cdw|cfc|dhp|hbp|ltr|vst",1600,""
