"siteid","eventid","date","plotid","plottype","plotsize","tagid","taxonid","growthform","stemdiameter","basalstemdiameter","plantstatus"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00316","MEPO5","sbt",16.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00317","MYSA","sbt",20,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00319","ACKO","sbt",39.2,NA,"6"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00320","MEPO5","sbt",15.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00321","CIGL","sbt",27.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00322","MEPO5","sbt",14,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00323","MEPO5","sbt",12.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00324","MEPO5","sbt",13.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00344","ACKO","sbt",180,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00343","CHTR2","sbt",10.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00339","ILAN","sbt",13.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00340","MEPO5","sbt",25,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00347","MYSA","sbt",16.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00348","MEPO5","sbt",10.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00349","MEPO5","sbt",11.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00350","CIGL","sbt",20.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00351","CIGL","sbt",23.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00352","MEPO5","sbt",11.6,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00353","CIGL","sbt",28.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00354","CIGL","sbt",23.9,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00355","CIGL","sbt",22.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00356","MEPO5","sbt",14.8,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00022","CIGL","sbt",16.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00357","ACKO","sbt",60,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00358","ACKO","sbt",31.2,NA,"2"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00359","ILAN","sbt",14.7,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00360","MEPO5","sbt",20.5,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00361","CHTR2","sbt",14.2,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00016","COPRO","smt",3.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00014","MEPO5","smt",2.1,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00020","CHTR2","smt",1.4,NA,"1"
"PUUM","vst_PUUM_2018","2018-03-29T00:00:00.000Z","PUUM_031","tower","1600","00018","MEPO5","sbt",6.6,NA,"1"
