"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"83","AGEXM","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. minor Hook."," ","","N"
"84","AGEXM2","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. monolepis (Torr.) A.S. Hitchc."," ","","N"
"85","AGEXP","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. purpurascens Hultén"," ","","N"
"86","AGLOA","AGEX","","Agrostis","longiligula","unknown","Agrostis longiligula A.S. Hitchc. var. australis J.T. Howell"," ","","N"
"87","AGLO2","AGEX","","Agrostis","longiligula","unknown","Agrostis longiligula A.S. Hitchc."," ","","N"
"88","AGEXM3","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc."," ","","N"
"89","AGME","AGEX","","Agrostis","melaleuca","unknown","Agrostis melaleuca (Trin.) A.S. Hitchc."," ","","N"
"90","AGAS4","AGEX","","Agrostis","asperifolia","unknown","Agrostis asperifolia Trin."," ","","N"
"91","AGEXP2","AGEX","","Agrostis","exarata","unknown","Agrostis exarata Trin. var. pacifica Vasey"," ","","N"
"92","AGAL2","AGEX","","Agrostis","alaskana","unknown","Agrostis alaskana Hultén"," ","","N"
"93","AGAE2","AGEX","","Agrostis","aenea","unknown","Agrostis aenea Trin."," ","","N"
"94","AGSI","AGFR","","Agropyron","sibiricum","C3","Agropyron sibiricum (Willd.) Beauv."," ","7","I"
"95","AGCRF","AGFR","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. ssp. fragile (Roth) A. Löve"," ","","I"
"96","AGFRS2","AGFR","","Agropyron","fragile","unknown","Agropyron fragile (Roth) P. Candargy var. sibiricum (Willd.) Tzvelev"," ","","I"
"97","AGCRF2","AGFR","","Agropyron","cristatum","unknown","Agropyron cristatum (L.) Gaertn. var. fragile (Roth) Dorn"," ","","I"
"98","AGFR","AGFR","Poaceae","Agropyron","fragile","unknown","Agropyron fragile (Roth) P. Candargy","Siberian wheatgrass","","I"
"99","AGFRS","AGFR","","Agropyron","fragile","unknown","Agropyron fragile (Roth) P. Candargy ssp. sibiricum (Willd.) Melderis"," ","","I"
"100","AGNI","AGGI2","","Agrostis","nigra","unknown","Agrostis nigra With."," ","","I"
"101","AGSTM","AGGI2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. var. major (Gaudin) Farw."," ","","I"
"102","AGAL3","AGGI2","","Agrostis","alba","C3","Agrostis alba auct. non L."," ","90,120,156,179","I"
"103","AGGID","AGGI2","","Agrostis","gigantea","unknown","Agrostis gigantea Roth var. dispar (Michx.) Philipson"," ","","I"
"104","AGSTG","AGGI2","","Agrostis","stolonifera","unknown","Agrostis stolonifera L. ssp. gigantea (Roth) Schuebl. & Martens"," ","","I"
"105","AGGI2","AGGI2","Poaceae","Agrostis","gigantea","unknown","Agrostis gigantea Roth","redtop","","I"
"106","AGTH2","AGHU","","Agrostis","thurberiana","unknown","Agrostis thurberiana A.S. Hitchc."," ","","N"
"107","POTH3","AGHU","","Podagrostis","thurberiana","unknown","Podagrostis thurberiana (A.S. Hitchc.) Hultén"," ","","N"
"108","AGHU","AGHU","Poaceae","Agrostis","humilis","unknown","Agrostis humilis Vasey","alpine bentgrass","","N"
"109","POHU","AGHU","","Podagrostis","humilis","unknown","Podagrostis humilis (Vasey) Björkman"," ","","N"
