siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
SOAP,SOAP_059.basePlot.ltr,41,Y,297825.8674,4101012.405,11N,10,10,297835,4101022,400,202,50.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_060.basePlot.ltr,23,Y,298065.1973,4100710.038,11N,10,-10,298075,4100700,400,188,47,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_060.basePlot.ltr,39,Y,298065.1973,4100710.038,11N,-10,10,298055,4100720,400,120,30,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_061.basePlot.ltr,39,Y,297974.8864,4101072.903,11N,-10,10,297964,4101082,400,289,72.25,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
SOAP,SOAP_061.basePlot.ltr,41,Y,297974.8864,4101072.903,11N,10,10,297984,4101082,400,230,57.5,2013,2013-06-12T16:00:00.000Z,2013-06-12T16:00:00.000Z
TEAK,TEAK_043.basePlot.ltr,23,Y,321054.906,4096729.251,11N,10,-10,321064,4096719,400,14,3.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_043.basePlot.ltr,21,Y,321054.906,4096729.251,11N,-10,-10,321044,4096719,400,111,27.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_044.basePlot.ltr,39,Y,321151.442,4097118.27,11N,-10,10,321141,4097128,400,230,57.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_044.basePlot.ltr,21,Y,321151.442,4097118.27,11N,-10,-10,321141,4097108,400,339,84.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_045.basePlot.ltr,23,Y,321692.9977,4096518.097,11N,10,-10,321702,4096508,400,201,50.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_045.basePlot.ltr,39,Y,321692.9977,4096518.097,11N,-10,10,321682,4096528,400,239,59.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_046.basePlot.ltr,39,Y,321363.4922,4097510.07,11N,-10,10,321353,4097520,400,247,61.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_046.basePlot.ltr,41,Y,321363.4922,4097510.07,11N,10,10,321373,4097520,400,222,55.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_047.basePlot.ltr,21,Y,321242.8104,4097330.352,11N,-10,-10,321232,4097320,400,260,65,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_047.basePlot.ltr,41,Y,321242.8104,4097330.352,11N,10,10,321252,4097340,400,80,20,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_048.basePlot.ltr,41,Y,321812.3695,4096787.871,11N,10,10,321822,4096797,400,144,36,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_048.basePlot.ltr,21,Y,321812.3695,4096787.871,11N,-10,-10,321802,4096777,400,281,70.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_049.basePlot.ltr,23,Y,321451.3675,4096759.066,11N,10,-10,321461,4096749,400,125,31.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_049.basePlot.ltr,41,Y,321451.3675,4096759.066,11N,10,10,321461,4096769,400,197,49.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_050.basePlot.ltr,21,Y,320612.1533,4097237.795,11N,-10,-10,320602,4097227,400,358,89.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_050.basePlot.ltr,41,Y,320612.1533,4097237.795,11N,10,10,320622,4097247,400,287,71.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_051.basePlot.ltr,41,Y,321392.2238,4097086.991,11N,10,10,321402,4097096,400,213,53.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_051.basePlot.ltr,21,Y,321392.2238,4097086.991,11N,-10,-10,321382,4097076,400,213,53.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_052.basePlot.ltr,41,Y,321212.7133,4097751.574,11N,10,10,321222,4097761,400,251,62.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_052.basePlot.ltr,23,Y,321212.7133,4097751.574,11N,10,-10,321222,4097741,400,272,68,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_053.basePlot.ltr,21,Y,321092.8834,4097300.44,11N,-10,-10,321082,4097290,400,117,29.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_053.basePlot.ltr,41,Y,321092.8834,4097300.44,11N,10,10,321102,4097310,400,174,43.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_054.basePlot.ltr,41,Y,321901.4675,4096668.335,11N,10,10,321911,4096678,400,343,85.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_054.basePlot.ltr,23,Y,321901.4675,4096668.335,11N,10,-10,321911,4096658,400,143,35.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_055.basePlot.ltr,39,Y,321542.5303,4096665.901,11N,-10,10,321532,4096675,400,98,24.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_055.basePlot.ltr,23,Y,321542.5303,4096665.901,11N,10,-10,321552,4096655,400,324,81,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_056.basePlot.ltr,39,Y,321092.7542,4096995.188,11N,-10,10,321082,4097005,400,90,22.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_056.basePlot.ltr,21,Y,321092.7542,4096995.188,11N,-10,-10,321082,4096985,400,195,48.75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_057.basePlot.ltr,23,Y,321331.2714,4097210.823,11N,10,-10,321341,4097200,400,269,67.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_057.basePlot.ltr,21,Y,321331.2714,4097210.823,11N,-10,-10,321321,4097200,400,292,73,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_058.basePlot.ltr,41,Y,321356.5757,4096545.057,11N,10,10,321366,4096555,400,152,38,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_058.basePlot.ltr,21,Y,321356.5757,4096545.057,11N,-10,-10,321346,4096535,400,166,41.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_059.basePlot.ltr,41,Y,321662.1945,4096911.358,11N,10,10,321672,4096921,400,300,75,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_059.basePlot.ltr,21,Y,321662.1945,4096911.358,11N,-10,-10,321652,4096901,400,304,76,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_060.basePlot.ltr,21,Y,321541.7984,4096846.627,11N,-10,-10,321531,4096836,400,285,71.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_060.basePlot.ltr,23,Y,321541.7984,4096846.627,11N,10,-10,321551,4096836,400,257,64.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_061.basePlot.ltr,41,Y,321901.2739,4096908.879,11N,10,10,321911,4096918,400,194,48.5,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_061.basePlot.ltr,21,Y,321901.2739,4096908.879,11N,-10,-10,321891,4096898,400,248,62,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_062.basePlot.ltr,41,Y,321240.6996,4096787.598,11N,10,10,321250,4096797,400,116,29,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
TEAK,TEAK_062.basePlot.ltr,21,Y,321240.6996,4096787.598,11N,-10,-10,321230,4096777,400,397,99.25,2013,2013-06-14T16:00:00.000Z,2013-06-15T17:00:00.000Z
BART,BART_032.basePlot.ltr,23,Y,316801.6042,4881910.568,19N,10,-10,316811,4881900,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_032.basePlot.ltr,39,Y,316801.6042,4881910.568,19N,-10,10,316791,4881920,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_033.basePlot.ltr,23,Y,317102.1476,4881427.694,19N,10,-10,317112,4881417,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_033.basePlot.ltr,41,Y,317102.1476,4881427.694,19N,10,10,317112,4881437,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_034.basePlot.ltr,23,Y,316949.7186,4881552.64,19N,10,-10,316959,4881542,400,396,99,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_034.basePlot.ltr,39,Y,316949.7186,4881552.64,19N,-10,10,316939,4881562,400,395,98.75,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_034.basePlot.ltr,21,Y,316949.7186,4881552.64,19N,-10,-10,316939,4881542,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_034.basePlot.ltr,41,Y,316949.7186,4881552.64,19N,10,10,316959,4881562,400,399,99.75,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_036.basePlot.ltr,21,Y,316921.3047,4881308.66,19N,-10,-10,316911,4881298,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_036.basePlot.ltr,41,Y,316921.3047,4881308.66,19N,10,10,316931,4881318,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_037.basePlot.ltr,41,Y,317130.7781,4881249.048,19N,10,10,317140,4881259,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_037.basePlot.ltr,21,Y,317130.7781,4881249.048,19N,-10,-10,317120,4881239,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_039.basePlot.ltr,39,Y,316680.1201,4881493.212,19N,-10,10,316670,4881503,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_039.basePlot.ltr,41,Y,316680.1201,4881493.212,19N,10,10,316690,4881503,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_040.basePlot.ltr,41,Y,316443.1498,4881730.79,19N,10,10,316453,4881740,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_040.basePlot.ltr,21,Y,316443.1498,4881730.79,19N,-10,-10,316433,4881720,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_041.basePlot.ltr,23,Y,316952.8204,4881670.159,19N,10,-10,316962,4881660,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_041.basePlot.ltr,39,Y,316952.8204,4881670.159,19N,-10,10,316942,4881680,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_042.basePlot.ltr,39,Y,316741.3565,4881103.792,19N,-10,10,316731,4881113,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_042.basePlot.ltr,41,Y,316741.3565,4881103.792,19N,10,10,316751,4881113,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_044.basePlot.ltr,39,Y,317042.3054,4881189.031,19N,-10,10,317032,4881199,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
BART,BART_044.basePlot.ltr,23,Y,317042.3054,4881189.031,19N,10,-10,317052,4881179,400,400,100,2014,2014-06-02T17:00:00.000Z,2014-06-02T17:00:00.000Z
