,siteID,namedLocation,subplotID,targetTaxaPresent,easting,northing,utmZone,E_add,N_add,easting_calc,northing_calc,plotArea,CHM_area,CHM_percent,Year,startDate,endDate
420,JERC,JERC_054.basePlot.ltr,39,Y,741179.2857,3454298.783,16N,-10,10,741169,3454308,400,399,99.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
421,JERC,JERC_055.basePlot.ltr,39,Y,741539.0797,3453879.031,16N,-10,10,741529,3453889,400,333,83.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
422,JERC,JERC_055.basePlot.ltr,41,Y,741539.0797,3453879.031,16N,10,10,741549,3453889,400,331,82.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
423,JERC,JERC_056.basePlot.ltr,41,Y,741420.5061,3453938.771,16N,10,10,741430,3453948,400,382,95.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
424,JERC,JERC_056.basePlot.ltr,39,Y,741420.5061,3453938.771,16N,-10,10,741410,3453948,400,276,69,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
425,JERC,JERC_056.basePlot.ltr,41,N,741420.5061,3453938.771,16N,10,10,741430,3453948,400,382,95.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
426,JERC,JERC_057.basePlot.ltr,23,Y,741090.3548,3454630.224,16N,10,-10,741100,3454620,400,400,100,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
427,JERC,JERC_057.basePlot.ltr,41,Y,741090.3548,3454630.224,16N,10,10,741100,3454640,400,398,99.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
428,JERC,JERC_058.basePlot.ltr,23,Y,741809.6083,3453938.266,16N,10,-10,741819,3453928,400,211,52.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
429,JERC,JERC_058.basePlot.ltr,21,Y,741809.6083,3453938.266,16N,-10,-10,741799,3453928,400,249,62.25000000000001,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
430,JERC,JERC_059.basePlot.ltr,39,Y,741781.0294,3454327.445,16N,-10,10,741771,3454337,400,270,67.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
431,JERC,JERC_059.basePlot.ltr,41,Y,741781.0294,3454327.445,16N,10,10,741791,3454337,400,313,78.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
432,JERC,JERC_060.basePlot.ltr,41,Y,741510.7972,3454388.806,16N,10,10,741520,3454398,400,277,69.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
433,JERC,JERC_060.basePlot.ltr,23,Y,741510.7972,3454388.806,16N,10,-10,741520,3454378,400,234,58.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
434,JERC,JERC_061.basePlot.ltr,23,Y,741510.3357,3454030.468,16N,10,-10,741520,3454020,400,269,67.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
435,JERC,JERC_061.basePlot.ltr,21,Y,741510.3357,3454030.468,16N,-10,-10,741500,3454020,400,299,74.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
436,JERC,JERC_062.basePlot.ltr,41,Y,741360.9566,3454177.807,16N,10,10,741370,3454187,400,244,61,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
437,JERC,JERC_062.basePlot.ltr,39,Y,741360.9566,3454177.807,16N,-10,10,741350,3454187,400,264,66,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
438,JERC,JERC_063.basePlot.ltr,21,Y,741749.705,3454059.366,16N,-10,-10,741739,3454049,400,285,71.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
439,JERC,JERC_063.basePlot.ltr,23,Y,741749.705,3454059.366,16N,10,-10,741759,3454049,400,127,31.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
440,JERC,JERC_064.basePlot.ltr,39,Y,741388.9278,3454600.898,16N,-10,10,741378,3454610,400,374,93.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
441,JERC,JERC_064.basePlot.ltr,21,Y,741388.9278,3454600.898,16N,-10,-10,741378,3454590,400,237,59.25,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
442,JERC,JERC_065.basePlot.ltr,39,Y,741509.7458,3454567.724,16N,-10,10,741499,3454577,400,295,73.75,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
443,JERC,JERC_065.basePlot.ltr,23,Y,741509.7458,3454567.724,16N,10,-10,741519,3454557,400,210,52.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
444,JERC,JERC_066.basePlot.ltr,21,Y,741661.0026,3454267.779,16N,-10,-10,741651,3454257,400,282,70.5,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
445,JERC,JERC_066.basePlot.ltr,39,Y,741661.0026,3454267.779,16N,-10,10,741651,3454277,400,248,62,2024,2024-05-08T13:00:00.000Z,2024-05-11T13:00:00.000Z
1042,UNDE,UNDE_037.basePlot.ltr,41,Y,303995.988,5122885.149,16N,10,10,304005,5122895,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1043,UNDE,UNDE_037.basePlot.ltr,39,Y,303995.988,5122885.149,16N,-10,10,303985,5122895,400,399,99.75,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1044,UNDE,UNDE_038.basePlot.ltr,23,Y,304567.56,5122975.069,16N,10,-10,304577,5122965,400,398,99.5,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1045,UNDE,UNDE_038.basePlot.ltr,41,Y,304567.56,5122975.069,16N,10,10,304577,5122985,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1046,UNDE,UNDE_043.basePlot.ltr,23,Y,303966.6322,5123216.528,16N,10,-10,303976,5123206,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1047,UNDE,UNDE_043.basePlot.ltr,39,Y,303966.6322,5123216.528,16N,-10,10,303956,5123226,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1048,UNDE,UNDE_044.basePlot.ltr,39,Y,304714.8108,5122914.197,16N,-10,10,304704,5122924,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1049,UNDE,UNDE_044.basePlot.ltr,21,Y,304714.8108,5122914.197,16N,-10,-10,304704,5122904,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1050,UNDE,UNDE_045.basePlot.ltr,39,Y,304176.1705,5123095.811,16N,-10,10,304166,5123105,400,387,96.75,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1051,UNDE,UNDE_045.basePlot.ltr,41,Y,304176.1705,5123095.811,16N,10,10,304186,5123105,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1052,UNDE,UNDE_047.basePlot.ltr,39,Y,304416.1281,5123037.857,16N,-10,10,304406,5123047,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1053,UNDE,UNDE_047.basePlot.ltr,21,Y,304416.1281,5123037.857,16N,-10,-10,304406,5123027,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1054,UNDE,UNDE_048.basePlot.ltr,41,Y,304114.3999,5122977.004,16N,10,10,304124,5122987,400,398,99.5,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1055,UNDE,UNDE_048.basePlot.ltr,39,Y,304114.3999,5122977.004,16N,-10,10,304104,5122987,400,399,99.75,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1056,UNDE,UNDE_049.basePlot.ltr,39,Y,304416.3665,5122794.388,16N,-10,10,304406,5122804,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1057,UNDE,UNDE_049.basePlot.ltr,21,Y,304416.3665,5122794.388,16N,-10,-10,304406,5122784,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1058,UNDE,UNDE_050.basePlot.ltr,21,Y,304294.163,5122678.069,16N,-10,-10,304284,5122668,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1059,UNDE,UNDE_050.basePlot.ltr,39,Y,304294.163,5122678.069,16N,-10,10,304284,5122688,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1060,UNDE,UNDE_052.basePlot.ltr,21,Y,303964.8447,5123095.799,16N,-10,-10,303954,5123085,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1061,UNDE,UNDE_052.basePlot.ltr,39,Y,303964.8447,5123095.799,16N,-10,10,303954,5123105,400,400,100,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
1062,UNDE,UNDE_054.basePlot.ltr,21,Y,304357.0725,5122914.513,16N,-10,-10,304347,5122904,400,399,99.75,2024,2024-06-25T14:00:00.000Z,2024-07-11T13:00:00.000Z
