domainid,siteid,taxonid,scientificname,preferredstatus,source,notes,accept_addition(y/n),botanist_notes
D07,MLBS,PUMOL,Pueraria montana var. lobata,VA-NW,,,y,Likely occurs near site
D07,MLBS,POCU6 ,Reynoutria japonica,VA-NW,,,n,Possible but no observations in or around site
D07,MLBS,ROMU ,Rosa multiflora,VA-NW,,,y,Occurs on site
D07,MLBS,RUPH ,Rubus phoenicolasius,VA-NW,,,y,Likely occurs near site
D07,MLBS,SOHA ,Sorghum halepense,VA-NW,,,y,Likely occurs near site
D07,MLBS,URDI,Urtica dioica,VA-NW,,,n,No records of occurance near site
D07,MLBS,VIRO80,Vitex rotundifolia*,VA-NW,,,n,No records of occurance near site
D07,ORNL,ACRE3,Acroptilon repens,TN-NW,,,n,No records of occurance near site
D07,ORNL,AIAL,Ailanthus altissima,TN-NW,,,y,Occurs on site
D07,ORNL,AKQU,Akebia quinata,TN-NW,,,n,No records of occurance near site
D07,ORNL,ALJU,Albizia julibrissin,TN-NW,,,y,Occurs on site
D07,ORNL,ALPE4,Alliaria petiolata,TN-NW,,,y,Likely occurs near site
D07,ORNL,ALPH,Alternanthera philoxeroides,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,AMBR7,Ampelopsis glandulosa,TN-NW,,Syn.,n,No records of occurance near site
D07,ORNL,ARHI3,Arthraxon hispidus,TN-NW,,,y,Likely occurs near site
D07,ORNL,ARDO4,Arundo donax,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,BRIN2,Bromus inermis,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,BUDA2,Buddleja davidii,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,CEOR7,Celastrus orbiculatus,TN-NW,,,y,Occurs on site
D07,ORNL,CESO3,Centaurea stoebe,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,CLTE4,Clematis terniflora,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,DIOP,Dioscorea polystachya,TN-NW,,Syn. Not in USDA,y,Likely occurs near site
D07,ORNL,EUAL13,Euonymus alatus,TN-NW,,,y,Occurs on site
D07,ORNL,EUFO5,Euonymus hederaceus,TN-NW,,Syn. Not in USDA,y,Occurs on site
D07,ORNL,FISI2,Firmiana simplex,TN-NW,,Updated NW Sp. Based on USDA,n,No records of occurance near site
D07,ORNL,HEHE,Hedera helix,TN-NW,,,y,Occurs on site
D07,ORNL,HEMA17,Heracleum mantegazzianum,TN-NW,,,n,No records of occurance near site
D07,ORNL,HUJA,Humulus japonicus,TN-NW,,,n,No records of occurance near site
D07,ORNL,HYVE3,Hydrilla verticillata,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,IMCY,Imperata cylindrica,TN-NW,,,n,No records of occurance near site
D07,ORNL,LEBI2,Lespedeza bicolor,TN-NW,,,y,Occurs on site
D07,ORNL,LECU,Lespedeza cuneata,TN-NW,,,y,Occurs on site
D07,ORNL,LISP10,Liriope spicata,TN-NW,,,n,No records of occurance near site
D07,ORNL,LOMA6,Lonicera maackii,TN-NW,,,y,Occurs on site
D07,ORNL,LYJA,Lygodium japonicum,TN-NW,,,n,No records of occurance near site
D07,ORNL,LYSA2,Lythrum salicaria,TN-NW,,,y,Likely occurs near site
D07,ORNL,MABE2,Mahonia bealei,TN-NW,,,y,Likely occurs near site
D07,ORNL,MEAZ,Melia azedarach,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,MISI,Miscanthus sinensis,TN-NW,,,y,Likely occurs near site
D07,ORNL,MUKE,Murdannia keisak,TN-NW,,,y,Likely occurs near site
D07,ORNL,MYAQ2,Myriophyllum aquaticum,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,MYSP2,Myriophyllum spicatum,TN-NW,,,y,Likely occurs near site
D07,ORNL,NADO,Nandina domestica,TN-NW,,,y,Occurs on site
D07,ORNL,PATO2,Paulownia tomentosa,TN-NW,,,y,Occurs on site
D07,ORNL,PEFR4,Perilla frutescens,TN-NW,,,y,Occurs on site
D07,ORNL,POPE10,Persicaria perfoliata,TN-NW,,In USDA as Polygonum perfoliatum,n,Possible but no observations in or around site
D07,ORNL,PHAU7,Phragmites australis,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,PHAU8,Phyllostachys aurea,TN-NW,,,n,No records of occurance near site
D07,ORNL,POCU6,Polygonum cuspidatum,TN-NW,,Fallopia japonica,y,Likely occurs near site
D07,ORNL,PUMO,Pueraria montana,TN-NW,,,y,Occurs on site
D07,ORNL,PYCA80,Pyrus calleryana,TN-NW,,,y,Occurs on site
D07,ORNL,RAFI,Ranunculus ficaria,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,RHCA3,Rhamnus cathartica,TN-NW,,,n,No records of occurance near site
D07,ORNL,ROMU,Rosa multiflora,TN-NW,,,y,Occurs on site
D07,ORNL,ROCO6,Rottboellia cochinchinensis,TN-NW,,,n,No records of occurance near site
D07,ORNL,RUPH,Rubus phoenicolasius,TN-NW,,,y,Likely occurs near site
D07,ORNL,SAMO5,Salvinia molesta,TN-NW,,,n,No records of occurance near site
D07,ORNL,SOVI2,Solanum viarum,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,SOHA,Sorghum halepense,TN-NW,,,y,Occurs on site
D07,ORNL,SPJA,Spiraea japonica,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,TRNA,Trapa natans,TN-NW,,,n,No records of occurance near site
D07,ORNL,TRSE6,Triadica sebifera,TN-NW,,,n,No records of occurance near site
D07,ORNL,TRTE,Tribulus terrestris,TN-NW,,,n,No records of occurance near site
D07,ORNL,TUFA,Tussilago farfara,TN-NW,,,y,Likely occurs near site
D07,ORNL,WIFL,Wisteria floribunda,TN-NW,,,n,Possible but no observations in or around site
D07,ORNL,WISI,Wisteria sinensis,TN-NW,,,n,No records of occurance near site
D08,DELA,AIAL,Ailanthus altissima,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,ALJU,Albizia julibrissin,AL-NW,,,y,Occurs near site
D08,DELA,ALPH,Alternanthera philoxeroides,AL-NW,,,y,Occurs on site
D08,DELA,ARCR80,Ardisia crenata,AL-NW,,,n,No records of occurance near site
D08,DELA,ARDO4,Arundo donax,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,CANU4,Carduus nutans,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,CEOR7,Celastrus orbiculatus,AL-NW,,,n,No records of occurance near site
D08,DELA,CICA,Cinnamomum camphora,AL-NW,,,n,No records of occurance near site
D08,DELA,CLTE4,Clematis terniflora,AL-NW,,,y,Occurs on site
D08,DELA,COES,Colocasia esculenta,AL-NW,,,y,Occurs on site
D08,DELA,COBE2,Commelina benghalensis,AL-NW,,,n,No records of occurance near site
D08,DELA,COSE4,Cortaderia selloana,AL-NW,,,n,No records of occurance near site
D08,DELA,DIOP,Dioscorea oppositifolia,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,EGDE,Egeria densa,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,EICR,Eichhornia crassipes,AL-NW,,,y,Occurs on site
D08,DELA,ELPU2,Elaeagnus pungens,AL-NW,,,y,Likely occurs near site
D08,DELA,ELUM,Elaeagnus umbellata,AL-NW,,,y,Occurs near site
D08,DELA,FAVI,Fatoua villosa,AL-NW,,,n,No records of occurance near site
D08,DELA,FISI2,Firmiana simplex,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,HEHE,Hedera helix,AL-NW,,,y,Occurs near site
D08,DELA,HYVE3,Hydrilla verticillata,AL-NW,,,y,Likely occurs on site
D08,DELA,IMCY,Imperata cylindrica,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,LACA2,Lantana camara,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,LEBI2,Lespedeza bicolor,AL-NW,,,y,Likely occurs near site
D08,DELA,LECU,Lespedeza cuneata,AL-NW,,,y,Occurs on site
D08,DELA,LIJA,Ligustrum japonicum,AL-NW,,,y,Occurs on site
D08,DELA,LILU2,Ligustrum lucidum,AL-NW,,,y,Likely occurs near site
D08,DELA,LOFR,Lonicera fragrantissima,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,LOMA6,Lonicera maackii,AL-NW,,,n,No records of occurance near site
D08,DELA,LOBE,Lonicera X bella,AL-NW,,,n,No records of occurance near site
D08,DELA,LYSA2,Lythrum salicaria ,AL-NW,,,n,No records of occurance near site
D08,DELA,MABE2,Mahonia bealei,AL-NW,,,y,Likely occurs near site
D08,DELA,MEAZ,Melia azedarach,AL-NW,,,y,Occurs near site
D08,DELA,MIVI,Microstegium vimineum,AL-NW,,,y,Occurs on site
D08,DELA,MUKE,Murdannia keisak,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,MYAQ2,Myriophyllum aquaticum,AL-NW,,,y,Likely occurs on site
D08,DELA,MYSP2,Myriophyllum spicatum,AL-NW,,,n,No records of occurance near site
D08,DELA,NADO,Nandina domestica,AL-NW,,,y,Occurs on site
D08,DELA,OXCU2,Oxycaryum cubense,AL-NW,,,y,Likely occurs on site
D08,DELA,PARE3,Panicum repens,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,PAUR2,Paspalum urvillei,AL-NW,,,y,Likely occurs on site
D08,DELA,PATO2,Paulownia tomentosa,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,PHAU7,Phragmites australis,AL-NW,,,n,No records of occurance near site
D08,DELA,PHUR,Phyllanthus urinaria,AL-NW,,,y,Occurs on site
D08,DELA,PHAU8,Phyllostachys aurea,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,PIST2,Pistia stratiotes,AL-NW,,,n,No records of occurance near site
D08,DELA,POTR4,Poncirus trifoliata,AL-NW,,,y,Likely occurs near site
D08,DELA,PUMOL,Pueraria montana var. lobata,AL-NW,,,y,Occurs near site
D08,DELA,PYCA80,Pyrus calleryana,AL-NW,,,y,Occurs near site
D08,DELA,ROBR,Rosa bracteata,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,ROLA,Rosa laevigata,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,ROMU,Rosa multiflora,AL-NW,,,n,Possible but no observations in or around site
D08,DELA,SAMO5,Salvinia molesta,AL-NW,,,y,Occurs on site
D08,DELA,SEPU7,Sesbania punicea,AL-NW,,,y,Occurs near site
D08,DELA,SOVI2,Solanum viarum,AL-NW,,,n,No records of occurance near site
D08,DELA,SOHA,Sorghum halepense,AL-NW,,,y,Occurs on site
D08,DELA,VEFO,Vernicia fordii,AL-NW,,,n,No records of occurance near site
D08,DELA,VIMA,Vinca major,AL-NW,,,y,Occurs near site
D08,DELA,VIMI2,Vinca minor,AL-NW,,,n,No records of occurance near site
D08,DELA,VIRO80,Vitex rotundifolia,AL-NW,,,n,No records of occurance near site
D08,DELA,WISI,Wisteria sinensis,AL-NW,,,y,Occurs on site
D08,LENO,AIAL,Ailanthus altissima,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,ALJU,Albizia julibrissin,AL-NW,,,y,Likely occurs near site
D08,LENO,ALPH,Alternanthera philoxeroides,AL-NW,,,y,Occurs on site
D08,LENO,ARCR80,Ardisia crenata,AL-NW,,,n,No records of occurance near site
D08,LENO,ARDO4,Arundo donax,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,CANU4,Carduus nutans,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,CEOR7,Celastrus orbiculatus,AL-NW,,,n,No records of occurance near site
D08,LENO,CICA,Cinnamomum camphora,AL-NW,,,n,No records of occurance near site
D08,LENO,CLTE4,Clematis terniflora,AL-NW,,,y,Occurs on site
D08,LENO,COES,Colocasia esculenta,AL-NW,,,y,Occurs on site
D08,LENO,COBE2,Commelina benghalensis,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,COSE4,Cortaderia selloana,AL-NW,,,n,No records of occurance near site
D08,LENO,DIOP,Dioscorea oppositifolia,AL-NW,,,n,No records of occurance near site
D08,LENO,EGDE,Egeria densa,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,EICR,Eichhornia crassipes,AL-NW,,,y,Occurs on site
D08,LENO,ELPU2,Elaeagnus pungens,AL-NW,,,y,Likely occurs on site
D08,LENO,ELUM,Elaeagnus umbellata,AL-NW,,,y,Occurs near site
D08,LENO,FAVI,Fatoua villosa,AL-NW,,,n,No records of occurance near site
D08,LENO,FISI2,Firmiana simplex,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,HEHE,Hedera helix,AL-NW,,,y,Occurs on site
D08,LENO,HYVE3,Hydrilla verticillata,AL-NW,,,y,Likely occurs on site
D08,LENO,IMCY,Imperata cylindrica,AL-NW,,,y,Occurs near site
D08,LENO,LACA2,Lantana camara,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,LEBI2,Lespedeza bicolor,AL-NW,,,y,Likely occurs near site
D08,LENO,LECU,Lespedeza cuneata,AL-NW,,,y,Occurs on site
D08,LENO,LIJA,Ligustrum japonicum,AL-NW,,,y,Occurs on site
D08,LENO,LILU2,Ligustrum lucidum,AL-NW,,,y,Likely occurs near site
D08,LENO,LOFR,Lonicera fragrantissima,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,LOMA6,Lonicera maackii,AL-NW,,,n,No records of occurance near site
D08,LENO,LOBE,Lonicera X bella,AL-NW,,,n,No records of occurance near site
D08,LENO,LYJA,Lygodium japonicum,AL-NW,,,y,Occurs on site
D08,LENO,LYSA2,Lythrum salicaria ,AL-NW,,,n,No records of occurance near site
D08,LENO,MABE2,Mahonia bealei,AL-NW,,,y,Likely occurs near site
D08,LENO,MEAZ,Melia azedarach,AL-NW,,,y,Occurs near site
D08,LENO,MIVI,Microstegium vimineum,AL-NW,,,y,Occurs on site
D08,LENO,MUKE,Murdannia keisak,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,MYAQ2,Myriophyllum aquaticum,AL-NW,,,y,Likely occurs on site
D08,LENO,MYSP2,Myriophyllum spicatum,AL-NW,,,n,No records of occurance near site
D08,LENO,NADO,Nandina domestica,AL-NW,,,y,Occurs on site
D08,LENO,OXCU2,Oxycaryum cubense,AL-NW,,,y,Likely occurs on site
D08,LENO,PARE3,Panicum repens,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,PAUR2,Paspalum urvillei,AL-NW,,,y,Likely occurs on site
D08,LENO,PATO2,Paulownia tomentosa,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,PHAU7,Phragmites australis,AL-NW,,,n,No records of occurance near site
D08,LENO,PHUR,Phyllanthus urinaria,AL-NW,,,y,Occurs on site
D08,LENO,PHAU8,Phyllostachys aurea,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,PIST2,Pistia stratiotes,AL-NW,,,n,No records of occurance near site
D08,LENO,POTR4,Poncirus trifoliata,AL-NW,,,y,Occurs near site
D08,LENO,PUMOL,Pueraria montana var. lobata,AL-NW,,,y,Occurs near site
D08,LENO,PYCA80,Pyrus calleryana,AL-NW,,,y,Occurs near site
D08,LENO,ROBR,Rosa bracteata,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,ROLA,Rosa laevigata,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,ROMU,Rosa multiflora,AL-NW,,,n,Possible but no observations in or around site
D08,LENO,SAMO5,Salvinia molesta,AL-NW,,,y,Occurs on site
D08,LENO,SEPU7,Sesbania punicea,AL-NW,,,y,Occurs near site
D08,LENO,SOVI2,Solanum viarum,AL-NW,,,n,No records of occurance near site
D08,LENO,SOHA,Sorghum halepense,AL-NW,,,y,Occurs near site
D08,LENO,TRSE6,Triadica sebifera,AL-NW,,,y,Occurs on site
D08,LENO,VEFO,Vernicia fordii,AL-NW,,,n,No records of occurance near site
D08,LENO,VIMA,Vinca major,AL-NW,,,y,Occurs on site
D08,LENO,VIMI2,Vinca minor,AL-NW,,,n,No records of occurance near site
D08,LENO,VIRO80,Vitex rotundifolia,AL-NW,,,n,No records of occurance near site
D08,LENO,WISI,Wisteria sinensis,AL-NW,,,y,Occurs on site
D08,TALL,AIAL,Ailanthus altissima,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,ALJU,Albizia julibrissin,AL-NW,,,y,Occurs on site
D08,TALL,ALPH,Alternanthera philoxeroides,AL-NW,,,y,Likely occurs on site
D08,TALL,ARCR80,Ardisia crenata,AL-NW,,,n,No records of occurance near site
D08,TALL,ARDO4,Arundo donax,AL-NW,,,y,Occurs near site
D08,TALL,CANU4,Carduus nutans,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,CEOR7,Celastrus orbiculatus,AL-NW,,,n,No records of occurance near site
D08,TALL,CICA,Cinnamomum camphora,AL-NW,,,n,No records of occurance near site
D08,TALL,CLTE4,Clematis terniflora,AL-NW,,,y,Occurs on site
D08,TALL,COES,Colocasia esculenta,AL-NW,,,y,Occurs on site
D08,TALL,COBE2,Commelina benghalensis,AL-NW,,,n,No records of occurance near site
D08,TALL,COSE4,Cortaderia selloana,AL-NW,,,n,No records of occurance near site
D08,TALL,DIOP,Dioscorea oppositifolia,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,EGDE,Egeria densa,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,EICR,Eichhornia crassipes,AL-NW,,,y,Occurs on site
D08,TALL,ELPU2,Elaeagnus pungens,AL-NW,,,y,Occurs near site
D08,TALL,ELUM,Elaeagnus umbellata,AL-NW,,,y,Occurs near site
D08,TALL,FAVI,Fatoua villosa,AL-NW,,,n,No records of occurance near site
D08,TALL,FISI2,Firmiana simplex,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,HEHE,Hedera helix,AL-NW,,,y,Occurs near site
D08,TALL,HYVE3,Hydrilla verticillata,AL-NW,,,y,Likely occurs on site
D08,TALL,IMCY,Imperata cylindrica,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,LACA2,Lantana camara,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,LEBI2,Lespedeza bicolor,AL-NW,,,y,Likely occurs near site
D08,TALL,LECU,Lespedeza cuneata,AL-NW,,,y,Occurs on site
D08,TALL,LIJA,Ligustrum japonicum,AL-NW,,,y,Occurs on site
D08,TALL,LILU2,Ligustrum lucidum,AL-NW,,,y,Likely occurs near site
D08,TALL,LOFR,Lonicera fragrantissima,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,LOMA6,Lonicera maackii,AL-NW,,,n,No records of occurance near site
D08,TALL,LOBE,Lonicera X bella,AL-NW,,,n,No records of occurance near site
D08,TALL,LYJA,Lygodium japonicum,AL-NW,,,y,Occurs on site
D08,TALL,LYSA2,Lythrum salicaria ,AL-NW,,,n,No records of occurance near site
D08,TALL,MABE2,Mahonia bealei,AL-NW,,,y,Likely occurs near site
D08,TALL,MEAZ,Melia azedarach,AL-NW,,,y,Occurs near site
D08,TALL,MIVI,Microstegium vimineum,AL-NW,,,y,Occurs on site
D08,TALL,MUKE,Murdannia keisak,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,MYAQ2,Myriophyllum aquaticum,AL-NW,,,y,Likely occurs on site
D08,TALL,MYSP2,Myriophyllum spicatum,AL-NW,,,n,No records of occurance near site
D08,TALL,NADO,Nandina domestica,AL-NW,,,y,Occurs on site
D08,TALL,OXCU2,Oxycaryum cubense,AL-NW,,,y,Likely occurs on site
D08,TALL,PARE3,Panicum repens,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,PAUR2,Paspalum urvillei,AL-NW,,,y,Likely occurs on site
D08,TALL,PATO2,Paulownia tomentosa,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,PHAU7,Phragmites australis,AL-NW,,,n,No records of occurance near site
D08,TALL,PHUR,Phyllanthus urinaria,AL-NW,,,y,Occurs on site
D08,TALL,PHAU8,Phyllostachys aurea,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,PIST2,Pistia stratiotes,AL-NW,,,n,No records of occurance near site
D08,TALL,POTR4,Poncirus trifoliata,AL-NW,,,y,Likely occurs near site
D08,TALL,PUMOL,Pueraria montana var. lobata,AL-NW,,,y,Occurs near site
D08,TALL,PYCA80,Pyrus calleryana,AL-NW,,,y,Occurs near site
D08,TALL,ROBR,Rosa bracteata,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,ROLA,Rosa laevigata,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,ROMU,Rosa multiflora,AL-NW,,,n,Possible but no observations in or around site
D08,TALL,SAMO5,Salvinia molesta,AL-NW,,,y,Occurs on site
D08,TALL,SEPU7,Sesbania punicea,AL-NW,,,y,Occurs near site
D08,TALL,SOVI2,Solanum viarum,AL-NW,,,n,No records of occurance near site
D08,TALL,SOHA,Sorghum halepense,AL-NW,,,y,Occurs on site
D08,TALL,TRSE6,Triadica sebifera,AL-NW,,,y,Occurs on site
D08,TALL,VEFO,Vernicia fordii,AL-NW,,,n,No records of occurance near site
D08,TALL,VIMA,Vinca major,AL-NW,,,y,Occurs near site
D08,TALL,VIMI2,Vinca minor,AL-NW,,,n,No records of occurance near site
D08,TALL,VIRO80,Vitex rotundifolia,AL-NW,,,n,No records of occurance near site
D08,TALL,WISI,Wisteria sinensis,AL-NW,,,y,Occurs on site
D09,DCFS,ACRE3,Acroptilon repens,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,AMPA,Amaranthus palmeri,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,ARMI2,Arctium minus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,BAPR5,Bassia prostrata,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,BRTE,Bromus tectorum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,CADR,Cardaria draba,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,CAAC,Carduus acanthoides,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,CANU4,Carduus nutans,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,CEDI3,Centaurea diffusa,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,CESO3,Centaurea solstitalis,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,CESTM,Centaurea stoebe spp. Micranthos,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,CIVU,Cirsium vulgare,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,COAR4,Convolvulus arvensis,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,CRTE3,Crepis tectorum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,GYPA,Gypsophila paniculata,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,HAGL,Halogeton glomeratus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,HIAU,Hieracium aurantiacum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,HYNI,Hyoscyamus niger,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,LIDA,Linaria dalmatica,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,LIVU2,Linaria vulgaris,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,LYSA2,Lythrum salicaria,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,MARE6,Matricaria recutita,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,ONAC,Onopordum acannthium,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,SOARU,Sonchus arvensis ssp. uliginosus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,SOAS,Sonchus asper,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,SOOL,Sonchus oleraceus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,TAMAR2,Tamarix spp. ,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,DCFS,TAVU,Tanacetum vulgare,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,DCFS,VETH,Verbascum thapsus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,ACRE3,Acroptilon repens,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,AMPA,Amaranthus palmeri,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,ASSY,Asclepias syriaca,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,BAPR5,Bassia prostrata,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,BRTE,Bromus tectorum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,CADR,Cardaria draba,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,CAAC,Carduus acanthoides,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,CANU4,Carduus nutans,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,CEDI3,Centaurea diffusa,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,CESO3,Centaurea solstitalis,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,CESTM,Centaurea stoebe spp. Micranthos,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,CIVU,Cirsium vulgare,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,COAR4,Convolvulus arvensis,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,CRTE3,Crepis tectorum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,GYPA,Gypsophila paniculata,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,HAGL,Halogeton glomeratus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,HIAU,Hieracium aurantiacum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,HYNI,Hyoscyamus niger,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,LIDA,Linaria dalmatica,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,LIVU2,Linaria vulgaris,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,LYSA2,Lythrum salicaria,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,MARE6,Matricaria recutita,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,ONAC,Onopordum acannthium,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,SOARU,Sonchus arvensis ssp. uliginosus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,SOAS,Sonchus asper,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,SOOL,Sonchus oleraceus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,TAMAR2,Tamarix spp. ,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,NOGP,TAVU,Tanacetum vulgare,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,NOGP,VETH,Verbascum thapsus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,WOOD,ACRE3,Acroptilon repens,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,WOOD,AMPA,Amaranthus palmeri,ND-NW,,,n,this is a state listed noxious weed but not likely to occur on site
D09,WOOD,ARMI2,Arctium minus,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,WOOD,BAPR5,Bassia prostrata,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,WOOD,BRTE,Bromus tectorum,ND-NW,,,n,not a state listed noxious weed. possibly county listed
D09,WOOD,CADR,Cardaria draba,ND-NW,,,n,not a state listed noxious weed. possibly county listed
